"NUCAN";"CODE";"INSCRITS";"VOTANTS";"EXPRIMÉS";"PC";"EXG";"SOC";"RDG";"DVG";"UDF";"RPR";"DVD";"FN";"ECO";"CodeDpt";"CodeCanton";"IDCanton"
"500000000060";7852;2836;1914;1811;0;0;648;0;0;0;1163;0;0;0;"05";"06";"0506"
"500000000070";7852;2595;2122;2074;0;0;0;1178;0;896;0;0;0;0;"05";"07";"0507"
"500000000130";7852;2422;1891;1842;0;0;1007;0;0;835;0;0;0;0;"05";"13";"0513"
"500000000180";7852;4926;3817;3691;0;0;1801;0;0;0;1890;0;0;0;"05";"18";"0518"
"500000000220";7852;1921;1643;1604;0;0;811;0;0;793;0;0;0;0;"05";"22";"0522"
"600000000080";7852;1535;1270;1243;0;0;621;0;0;0;0;622;0;0;"06";"08";"0608"
"600000000090";7852;5695;4435;4243;2186;0;0;0;0;0;0;2057;0;0;"06";"09";"0609"
"600000000100";7852;12419;8584;8135;3060;0;0;0;0;5075;0;0;0;0;"06";"10";"0610"
"600000000120";7852;9055;7113;6816;1944;0;0;0;0;0;0;3943;929;0;"06";"12";"0612"
"600000000160";7852;20227;12155;11654;0;0;4756;0;0;6898;0;0;0;0;"06";"16";"0616"
"600000000180";7852;2398;1972;1857;1007;0;850;0;0;0;0;0;0;0;"06";"18";"0618"
"600000000230";7852;1549;1078;720;0;0;0;0;0;0;0;720;0;0;"06";"23";"0623"
"600000000250";7852;8523;5248;4576;0;0;0;0;0;3328;0;0;1248;0;"06";"25";"0625"
"600000000270";7852;2169;1736;1656;0;0;737;0;0;919;0;0;0;0;"06";"27";"0627"
"600000000290";7852;2170;1710;1622;585;0;0;0;0;0;0;1037;0;0;"06";"29";"0629"
"600000000300";7852;16634;10413;9543;0;0;0;0;0;0;4776;2917;1850;0;"06";"30";"0630"
"600000000350";7852;20214;12294;10432;0;0;0;0;0;0;0;6732;3700;0;"06";"35";"0635"
"600000000360";7852;19196;11754;10203;0;0;0;0;0;5791;0;0;4412;0;"06";"36";"0636"
"600000000380";7852;16705;9793;9473;0;0;2528;0;0;0;0;6945;0;0;"06";"38";"0638"
"600000000410";7852;19330;11343;11098;0;0;3649;0;0;5767;0;0;1682;0;"06";"41";"0641"
"600000000420";7852;13139;8269;7932;2890;0;0;0;0;0;0;5042;0;0;"06";"42";"0642"
"600000000440";7852;15864;9266;9041;0;0;2951;0;0;3712;0;0;2378;0;"06";"44";"0644"
"600000000470";7852;17660;9837;9001;0;0;0;0;0;5971;0;0;3030;0;"06";"47";"0647"
"600000000480";7852;14475;8671;8195;0;0;0;0;0;0;0;5219;2976;0;"06";"48";"0648"
"600000000490";7852;20782;12069;10705;0;0;0;0;0;0;6193;0;4512;0;"06";"49";"0649"
"600000000500";7852;6452;4582;4409;0;0;2596;0;0;1222;0;0;591;0;"06";"50";"0650"
"600000000510";7852;13504;7573;6414;0;0;0;0;0;4532;0;0;1882;0;"06";"51";"0651"
"700000000010";7852;11440;7215;6987;0;0;2814;0;0;4173;0;0;0;0;"07";"01";"0701"
"700000000020";7852;2591;2031;1933;0;0;1035;0;0;0;0;898;0;0;"07";"02";"0702"
"700000000090";7852;6269;4720;4586;0;0;2100;0;0;0;0;2486;0;0;"07";"09";"0709"
"700000000120";7852;2058;1708;1653;0;0;0;0;793;0;860;0;0;0;"07";"12";"0712"
"700000000200";7852;3084;2539;2415;0;0;1181;0;0;0;1234;0;0;0;"07";"20";"0720"
"700000000270";7852;6292;4563;4429;1985;0;0;0;0;0;0;2444;0;0;"07";"27";"0727"
"700000000300";7852;9132;6888;6651;0;0;3130;0;0;0;0;3521;0;0;"07";"30";"0730"
"700000000310";7852;8866;6466;6178;0;0;3423;0;0;2755;0;0;0;0;"07";"31";"0731"
"800000000100";7852;4835;3806;3658;0;0;1823;0;0;0;1835;0;0;0;"08";"10";"0810"
"800000000160";7852;9471;6548;6293;3613;0;0;0;0;0;2680;0;0;0;"08";"16";"0816"
"800000000170";7852;2272;1684;1580;0;0;350;0;0;759;0;471;0;0;"08";"17";"0817"
"800000000200";7852;1585;913;730;0;0;0;0;0;730;0;0;0;0;"08";"20";"0820"
"800000000210";7852;3041;2446;2273;0;0;1018;0;0;0;0;1255;0;0;"08";"21";"0821"
"800000000220";7852;4413;3473;3389;0;0;1655;0;0;0;1734;0;0;0;"08";"22";"0822"
"800000000250";7852;3543;2898;2808;0;0;1488;0;0;1320;0;0;0;0;"08";"25";"0825"
"800000000260";7852;7413;4452;4252;0;0;1808;0;0;0;2444;0;0;0;"08";"26";"0826"
"800000000270";7852;9210;5844;5565;0;0;2160;0;0;0;0;3405;0;0;"08";"27";"0827"
"800000000300";7852;1090;880;838;0;0;0;0;0;554;0;284;0;0;"08";"30";"0830"
"800000000310";7852;4750;3724;3592;0;0;1380;0;0;0;0;2212;0;0;"08";"31";"0831"
"800000000340";7852;6131;4169;3996;0;0;2660;0;0;0;1336;0;0;0;"08";"34";"0834"
"900000000060";7852;4205;3030;2863;0;0;1638;0;0;0;0;1225;0;0;"09";"06";"0906"
"900000000070";7852;11045;6652;6190;0;0;3378;0;0;2812;0;0;0;0;"09";"07";"0907"
"900000000080";7852;3672;2531;2344;0;0;2344;0;0;0;0;0;0;0;"09";"08";"0908"
"900000000120";7852;7498;5327;5093;2535;0;0;0;0;0;0;2558;0;0;"09";"12";"0912"
"900000000150";7852;9042;6544;6303;0;0;3477;0;0;2826;0;0;0;0;"09";"15";"0915"
"900000000180";7852;6738;4689;4491;0;0;2460;0;0;0;2031;0;0;0;"09";"18";"0918"
"900000000210";7852;6541;4043;3873;0;0;2128;0;1745;0;0;0;0;0;"09";"21";"0921"
"900000000220";7852;7566;5193;5028;0;0;2832;0;0;0;2196;0;0;0;"09";"22";"0922"
"1000000000020";7852;6234;4185;4028;0;0;753;0;0;0;1268;2007;0;0;"10";"02";"1002"
"1000000000050";7852;6130;4092;3886;0;0;1457;0;0;2429;0;0;0;0;"10";"05";"1005"
"1000000000060";7852;5765;4525;4399;2219;0;0;0;0;2180;0;0;0;0;"10";"06";"1006"
"1000000000110";7852;3559;2644;2579;0;0;1128;0;0;0;0;1451;0;0;"10";"11";"1011"
"1000000000150";7852;2905;2208;2121;0;0;1029;0;0;1092;0;0;0;0;"10";"15";"1015"
"1000000000200";7852;6686;4589;4392;1863;0;0;0;0;2529;0;0;0;0;"10";"20";"1020"
"1000000000210";7852;2085;1531;1446;0;0;0;0;840;0;0;606;0;0;"10";"21";"1021"
"1000000000260";7852;2233;1714;1657;0;0;927;0;0;0;0;730;0;0;"10";"26";"1026"
"1000000000270";7852;8490;5437;5177;2964;0;0;0;0;0;2213;0;0;0;"10";"27";"1027"
"1000000000320";7852;9435;5521;5386;0;0;2184;0;0;0;3202;0;0;0;"10";"32";"1032"
"1000000000330";7852;7205;3605;3434;0;0;1529;0;0;1905;0;0;0;0;"10";"33";"1033"
"1100000000020";7852;5005;4318;4161;0;0;2299;0;0;0;0;1862;0;0;"11";"02";"1102"
"1100000000030";7852;1892;1025;806;0;0;806;0;0;0;0;0;0;0;"11";"03";"1103"
"1100000000070";7852;9888;7118;6673;0;0;3722;0;0;0;2951;0;0;0;"11";"07";"1107"
"1100000000090";7852;6006;5050;4905;0;0;2663;0;0;0;2242;0;0;0;"11";"09";"1109"
"1100000000140";7852;11292;9044;8780;3649;0;3762;0;0;0;1369;0;0;0;"11";"14";"1114"
"1100000000180";7852;2679;2063;1954;0;0;1226;0;0;0;0;728;0;0;"11";"18";"1118"
"1100000000190";7852;12682;9905;9145;0;0;5315;0;0;0;3830;0;0;0;"11";"19";"1119"
"1100000000240";7852;11230;7316;6803;0;0;2734;0;0;0;0;4069;0;0;"11";"24";"1124"
"1100000000250";7852;9526;6923;6485;0;0;4028;0;0;0;2457;0;0;0;"11";"25";"1125"
"1100000000310";7852;1785;1440;1356;0;0;723;0;633;0;0;0;0;0;"11";"31";"1131"
"1200000000050";7852;1674;1436;1403;0;0;0;0;0;0;0;668;0;735;"12";"05";"1205"
"1200000000130";7852;2774;2108;2024;0;0;0;0;0;869;0;1155;0;0;"12";"13";"1213"
"1200000000150";7852;3342;2770;2694;0;0;0;0;0;0;0;2694;0;0;"12";"15";"1215"
"1200000000160";7852;6233;4602;4495;0;0;676;0;0;0;0;3819;0;0;"12";"16";"1216"
"1200000000440";7852;11672;8745;8352;0;0;4152;0;0;0;4200;0;0;0;"12";"44";"1244"
"1300000000020";7852;27626;17468;17077;0;0;6954;0;0;6928;0;0;3195;0;"13";"02";"1302"
"1300000000040";7852;15050;10587;10107;5521;0;0;0;0;0;4586;0;0;0;"13";"04";"1304"
"1300000000060";7852;25483;16095;15291;7504;0;0;0;0;0;7781;0;6;0;"13";"06";"1306"
"1300000000080";7852;35372;25090;24276;8619;0;0;0;0;0;7918;0;7739;0;"13";"08";"1308"
"1300000000090";7852;10259;7558;7142;0;0;4041;0;0;3033;0;0;68;0;"13";"09";"1309"
"1300000000120";7852;11391;8959;8574;0;0;0;0;4580;3955;0;0;39;0;"13";"12";"1312"
"1300000000140";7852;29299;13027;11772;0;0;0;0;0;0;5729;0;6043;0;"13";"14";"1314"
"1300000000180";7852;19805;10682;10327;0;0;3669;0;0;6643;0;0;15;0;"13";"18";"1318"
"1300000000190";7852;22284;12531;12102;0;0;4157;0;0;7942;0;0;3;0;"13";"19";"1319"
"1300000000210";7852;15948;8834;8351;0;0;4357;0;0;0;0;0;3994;0;"13";"21";"1321"
"1300000000220";7852;21618;12762;12456;0;0;4650;0;0;4557;0;0;3249;0;"13";"22";"1322"
"1300000000230";7852;28485;15236;14476;0;0;6588;0;0;0;7876;0;12;0;"13";"23";"1323"
"1300000000310";7852;9592;7504;7261;0;0;0;0;3479;3782;0;0;0;0;"13";"31";"1331"
"1300000000330";7852;9876;7567;7347;0;0;3408;0;0;0;0;3305;634;0;"13";"33";"1333"
"1300000000340";7852;12391;9705;9429;0;0;5032;0;0;4347;0;0;50;0;"13";"34";"1334"
"1300000000350";7852;17481;13180;12333;0;0;5623;0;0;0;6646;0;64;0;"13";"35";"1335"
"1300000000360";7852;43285;30548;29631;0;0;14554;0;0;0;0;15077;0;0;"13";"36";"1336"
"1300000000410";7852;31367;18631;17502;0;0;9411;0;0;0;0;0;8091;0;"13";"41";"1341"
"1300000000430";7852;32704;17923;17272;0;0;8080;0;0;9189;0;0;3;0;"13";"43";"1343"
"1300000000450";7852;14963;8611;8427;3702;0;0;0;0;0;1912;0;2813;0;"13";"45";"1345"
"1300000000460";7852;30084;16753;16200;0;0;5047;0;0;11143;0;0;10;0;"13";"46";"1346"
"1400000000040";7852;5452;3855;3643;0;0;0;0;1338;2305;0;0;0;0;"14";"04";"1404"
"1400000000060";7852;9983;7458;7228;0;0;3367;0;0;3861;0;0;0;0;"14";"06";"1406"
"1400000000070";7852;8285;6206;5996;0;0;2907;0;0;0;3089;0;0;0;"14";"07";"1407"
"1400000000120";7852;6804;4564;4368;0;0;1720;0;0;0;0;2648;0;0;"14";"12";"1412"
"1400000000220";7852;7946;5084;4842;0;0;2178;0;0;2664;0;0;0;0;"14";"22";"1422"
"1400000000230";7852;4798;3625;3494;0;0;0;0;0;0;0;3494;0;0;"14";"23";"1423"
"1400000000270";7852;5752;3762;3451;0;0;0;0;0;1768;0;1683;0;0;"14";"27";"1427"
"1400000000400";7852;7788;4446;4304;0;0;2119;0;0;0;2185;0;0;0;"14";"40";"1440"
"1400000000410";7852;8221;4137;3918;0;0;2430;0;0;1488;0;0;0;0;"14";"41";"1441"
"1400000000460";7852;11534;6561;6304;0;0;3283;0;0;0;3021;0;0;0;"14";"46";"1446"
"1500000000020";7852;5811;4404;4227;0;0;2186;0;0;0;2041;0;0;0;"15";"02";"1502"
"1500000000100";7852;5921;4864;4742;2242;0;0;0;0;0;0;2500;0;0;"15";"10";"1510"
"1500000000260";7852;5136;4264;4112;0;0;1615;0;0;0;0;2497;0;0;"15";"26";"1526"
"1600000000020";7852;7995;4777;4606;0;0;2155;0;0;0;2451;0;0;0;"16";"02";"1602"
"1600000000030";7852;9527;5702;5481;0;0;2831;0;0;2650;0;0;0;0;"16";"03";"1603"
"1600000000140";7852;3928;3253;3118;0;0;1516;0;0;0;0;1602;0;0;"16";"14";"1614"
"1600000000150";7852;5705;4632;4478;1980;0;0;0;0;0;0;2498;0;0;"16";"15";"1615"
"1600000000160";7852;7123;4961;4799;0;0;0;2290;0;0;2509;0;0;0;"16";"16";"1616"
"1600000000170";7852;8765;5807;5597;0;0;2227;0;0;3370;0;0;0;0;"16";"17";"1617"
"1600000000260";7852;8897;6651;6421;3265;0;0;0;0;0;0;3156;0;0;"16";"26";"1626"
"1600000000270";7852;9339;6464;6280;0;0;1456;0;0;2183;0;2641;0;0;"16";"27";"1627"
"1600000000340";7852;10337;6536;6296;0;0;3083;0;0;0;0;3213;0;0;"16";"34";"1634"
"1700000000010";7852;6400;3905;3739;0;0;0;0;2141;1598;0;0;0;0;"17";"01";"1701"
"1700000000020";7852;5023;2920;2811;0;0;1519;0;0;0;0;1292;0;0;"17";"02";"1702"
"1700000000050";7852;4548;3336;3193;0;0;1703;0;0;0;0;1490;0;0;"17";"05";"1705"
"1700000000120";7852;4304;3204;3117;0;0;1639;0;0;0;0;1478;0;0;"17";"12";"1712"
"1700000000130";7852;6191;4127;3950;0;0;0;1790;0;0;0;2160;0;0;"17";"13";"1713"
"1700000000140";7852;8591;5399;5081;0;0;0;1930;0;0;0;3151;0;0;"17";"14";"1714"
"1700000000170";7852;4832;3531;3383;0;0;1591;0;0;0;0;1792;0;0;"17";"17";"1717"
"1700000000210";7852;7484;4795;4627;0;0;2039;0;0;0;2588;0;0;0;"17";"21";"1721"
"1700000000220";7852;7224;3729;3592;0;0;1268;0;0;0;0;2324;0;0;"17";"22";"1722"
"1700000000230";7852;6435;3750;3581;0;0;0;1943;0;0;1638;0;0;0;"17";"23";"1723"
"1700000000240";7852;5310;2921;2777;0;0;1476;0;0;0;1301;0;0;0;"17";"24";"1724"
"1700000000250";7852;12424;7314;6840;0;0;2360;0;0;4480;0;0;0;0;"17";"25";"1725"
"1700000000290";7852;12323;8591;8270;0;0;3886;0;0;0;4384;0;0;0;"17";"29";"1729"
"1700000000300";7852;6234;4566;4450;0;0;0;1498;0;0;1915;1037;0;0;"17";"30";"1730"
"1700000000310";7852;7707;5758;5414;0;0;2386;0;0;0;0;3028;0;0;"17";"31";"1731"
"1700000000350";7852;9411;6331;6132;0;0;2945;0;0;3187;0;0;0;0;"17";"35";"1735"
"1700000000360";7852;9694;7145;6904;0;0;3031;0;0;0;3873;0;0;0;"17";"36";"1736"
"1700000000380";7852;2436;1946;1913;0;0;0;903;0;1010;0;0;0;0;"17";"38";"1738"
"1700000000410";7852;6081;3294;3152;0;0;0;1516;0;0;1636;0;0;0;"17";"41";"1741"
"1700000000440";7852;8765;5755;5541;0;0;0;2622;0;0;2919;0;0;0;"17";"44";"1744"
"1700000000450";7852;6888;3903;3773;0;0;1808;0;0;0;1965;0;0;0;"17";"45";"1745"
"1700000000490";7852;5963;3759;3620;0;0;0;1941;0;1679;0;0;0;0;"17";"49";"1749"
"1700000000510";7852;9556;6558;6288;0;0;3081;0;0;3207;0;0;0;0;"17";"51";"1751"
"1800000000060";7852;2242;1688;1529;0;0;0;0;0;541;0;988;0;0;"18";"06";"1806"
