"CodeCanton";"Inscrits";"Votants";"Exprimés";"PC";"EXG";"SOC";"RDG";"DVG";"UDF";"RPR";"DVD";"FN";"ECO";"CodeDpt"
"6723";9596;6673;6348;185;0;1155;0;0;1780;2519;0;709;0;"67"
"6724";17810;12431;11575;356;0;3508;0;0;6113;0;0;0;1598;"67"
"6728";8441;3947;3858;98;0;1043;0;0;1629;0;44;813;231;"67"
"6731";11436;8146;7916;55;0;898;0;0;4199;0;1337;792;635;"67"
"6732";6817;5365;5148;32;0;960;0;0;2330;1166;241;419;0;"67"
"6733";12554;9376;9204;79;0;529;0;0;1101;6474;0;573;448;"67"
"6734";11325;7385;7112;42;0;1244;0;0;0;3478;1003;578;767;"67"
"6735";8266;5915;5694;116;0;500;0;0;0;3615;1152;311;0;"67"
"6737";16758;8955;8690;209;87;2699;0;0;0;3714;453;1528;0;"67"
"6738";12639;6429;6298;108;0;1034;0;0;4051;0;0;1105;0;"67"
"6739";14463;6902;6738;211;0;1404;0;0;3579;0;0;1544;0;"67"
"6741";11688;5552;5345;283;0;1526;0;0;2178;0;0;1358;0;"67"
"6742";30855;17189;16657;453;0;3424;0;0;0;10573;0;2207;0;"67"
"6743";23943;13185;12678;303;0;2615;0;0;0;7084;0;2676;0;"67"
"6801";14220;10060;9752;85;0;636;0;0;0;0;8323;708;0;"68"
"6802";12598;8558;8224;94;0;843;0;0;4708;719;102;967;791;"68"
"6805";7389;5426;5262;64;0;457;0;0;0;0;4127;614;0;"68"
"6806";13889;9489;8858;296;0;2063;0;0;4849;0;255;1395;0;"68"
"6808";11857;8191;7852;157;0;1447;0;0;0;4583;0;851;814;"68"
"6809";19612;11509;11164;258;0;1621;0;0;0;5210;0;2971;1104;"68"
"6811";27881;16272;15620;388;0;2038;0;0;8566;0;1245;1988;1395;"68"
"6812";11337;8206;7906;58;0;904;0;0;3460;0;2878;606;0;"68"
"6813";11225;8070;7834;105;0;640;0;0;4363;1703;0;643;380;"68"
"6815";7125;5478;5292;71;0;583;0;0;1560;1413;1391;274;0;"68"
